,County,State,Year,Severity,count(Severity)
2924,Jefferson,MO,2020,2,246
2925,Redwood,MN,2020,2,96
2926,Baldwin,AL,2020,2,304
2927,Laurens,SC,2020,4,26
2928,Newberry,SC,2020,4,6
2929,Amelia,VA,2020,3,7
2930,Canadian,OK,2020,3,41
2931,Ottawa,OH,2020,2,5
2932,Hale,AL,2020,2,15
2933,Jackson,NC,2020,2,15
2934,Brunswick,VA,2020,4,14
2935,Caroline,MD,2020,3,5
2936,Wythe,VA,2020,4,17
2937,Hall,GA,2020,4,25
2938,Muscogee,GA,2020,4,20
2939,Sedgwick,KS,2020,2,94
2940,Richmond,NC,2020,2,21
2941,Miami-Dade,FL,2020,2,32734
2942,Orange,CA,2020,3,1589
2943,Medina,OH,2020,3,17
2944,Allen,OH,2020,3,18
2945,Bay,FL,2020,2,623
2946,Anne Arundel,MD,2020,2,1384
2947,Lyon,NV,2020,2,128
2948,Greene,AL,2020,3,21
2949,Monroe,IL,2020,3,9
2950,Albemarle,VA,2020,3,104
2951,King George,VA,2020,2,50
2952,Alamance,NC,2020,3,54
2953,Dodge,WI,2020,2,8
2954,Crenshaw,AL,2020,2,21
2955,Pulaski,MO,2020,3,5
2956,Kennebec,ME,2020,4,1
2957,Hall,NE,2020,2,8
2958,Clark,WI,2020,3,2
2959,Kenton,KY,2020,2,673
2960,Richland,SC,2020,2,4873
2961,Williamson,TN,2020,3,101
2962,Kalamazoo,MI,2020,4,16
2963,Sevier,UT,2020,2,226
2964,Greenlee,AZ,2020,2,13
2965,Mecklenburg,VA,2020,3,24
2966,Lake,IN,2020,2,354
2967,Petersburg,VA,2020,2,152
2968,Macon-Bibb County,GA,2020,4,33
2969,Tippecanoe,IN,2020,3,7
2970,Jeff Davis,GA,2020,2,4
2971,Polk,MN,2020,2,29
2972,Wichita,TX,2020,2,498
2973,Humboldt,NV,2020,2,20
2974,Taliaferro,GA,2020,4,1
2975,Nicollet,MN,2020,2,418
2976,Bergen,NJ,2020,3,467
2977,Centre,PA,2020,3,55
2978,Carroll,NH,2020,2,26
2979,Cumberland,PA,2020,2,503
2980,Johnson,IA,2020,2,134
2981,Gordon,GA,2020,3,26
2982,Bossier,LA,2020,2,107
2983,Eau Claire,WI,2020,3,12
2984,Grafton,NH,2020,4,5
2985,Lowndes,GA,2020,3,19
2986,Quay,NM,2020,3,2
2987,Milwaukee,WI,2020,4,39
2988,Plumas,CA,2020,2,267
2989,Hart,KY,2020,3,6
2990,Douglas,CO,2020,4,39
2991,Cowlitz,WA,2020,4,5
2992,Monmouth,NJ,2020,4,68
2993,Tift,GA,2020,4,3
2994,Baldwin,GA,2020,3,3
2995,Essex,MA,2020,2,875
2996,Bronx,NY,2020,2,2401
2997,Brown,WI,2020,2,91
2998,Pierce,WA,2020,2,1291
2999,Kane,IL,2020,2,272
3000,Dallas,AL,2020,2,45
3001,Rockingham,VA,2020,4,33
3002,Marion,TN,2020,2,79
3003,Mobile,AL,2020,4,17
3004,McLennan,TX,2020,2,29
3005,Livingston,MI,2020,3,40
3006,Lorain,OH,2020,3,43
3007,Madison,FL,2020,2,148
3008,Newton,GA,2020,3,37
3009,Outagamie,WI,2020,3,50
3010,Franklin,PA,2020,3,64
3011,Glenn,CA,2020,2,312
3012,Washington,UT,2020,3,41
3013,Washington,RI,2020,2,85
3014,Sarpy,NE,2020,3,90
3015,Montgomery,TX,2020,4,12
3016,Eastland,TX,2020,2,2
3017,St. John the Baptist,LA,2020,2,55
3018,Clear Creek,CO,2020,2,45
3019,Tazewell,VA,2020,2,14
3020,Richland,SC,2020,1,4
3021,Marengo,AL,2020,2,8
3022,Juab,UT,2020,4,4
3023,Vermilion,IL,2020,3,34
3024,Richmond City,VA,2020,3,582
3025,Polk,FL,2020,2,692
3026,Mille Lacs,MN,2020,2,229
3027,Vanderburgh,IN,2020,2,22
3028,Botetourt,VA,2020,3,74
3029,Augusta,VA,2020,2,445
3030,Fayette,OH,2020,3,3
3031,Forrest,MS,2020,2,133
3032,Gulf,FL,2020,2,16
3033,Eastland,TX,2020,3,4
3034,Mecklenburg,NC,2020,1,524
3035,Guernsey,OH,2020,2,3
3036,Crawford,AR,2020,2,32
3037,White,GA,2020,2,2
3038,Livingston,LA,2020,2,68
3039,Knox,TN,2020,3,419
3040,Jefferson,IL,2020,3,54
3041,Cass,IA,2020,2,57
3042,Frederick,MD,2020,3,226
3043,St. Croix,WI,2020,3,28
3044,Mono,CA,2020,2,329
3045,Kitsap,WA,2020,3,22
3046,Lee,IA,2020,2,7
3047,Bland,VA,2020,3,19
3048,Fayette,KY,2020,4,12
3049,Jasper,MO,2020,3,4
3050,Gaston,NC,2020,2,152
3051,Tuscarawas,OH,2020,2,6
3052,Salt Lake,UT,2020,1,280
3053,Marion,IA,2020,3,2
3054,Greene,TN,2020,2,17
3055,Cass,TX,2020,2,1
3056,Susquehanna,PA,2020,3,6
3057,Linn,OR,2020,4,33
3058,Suffolk,VA,2020,3,33
3059,Dakota,MN,2020,2,2287
3060,Florence,SC,2020,3,117
3061,Decatur,IA,2020,3,6
3062,Autauga,AL,2020,2,268
3063,Adams,WA,2020,3,3
3064,Gloucester,VA,2020,3,10
3065,Monroe,AR,2020,3,3
3066,Heard,GA,2020,2,9
3067,Franklin,MO,2020,3,53
3068,Kenton,KY,2020,4,25
3069,Louisa,VA,2020,2,104
3070,Dodge,NE,2020,2,15
3071,El Paso,CO,2020,4,120
3072,Grimes,TX,2020,2,2
3073,DeKalb,AL,2020,2,19
3074,Thurston,WA,2020,4,10
3075,Madera,CA,2020,3,8
3076,Clark,ID,2020,3,1
3077,Tulsa,OK,2020,2,3146
3078,Utah,UT,2020,2,1510
3079,Kenton,KY,2020,3,264
3080,Trumbull,OH,2020,2,40
3081,Petersburg,VA,2020,3,67
3082,Bowie,TX,2020,3,8
3083,Marshall,AL,2020,2,35
3084,Smyth,VA,2020,3,42
3085,Chesapeake,VA,2020,4,39
3086,Guadalupe,NM,2020,3,4
3087,Norfolk,VA,2020,4,69
3088,Benton,OR,2020,2,166
3089,Monroe,NY,2020,1,3
3090,Arkansas,AR,2020,3,1
3091,Lawrence,AR,2020,3,2
3092,Maury,TN,2020,3,7
3093,Sandusky,OH,2020,2,7
3094,Jefferson,TX,2020,2,6
3095,Jefferson,WV,2020,2,27
3096,Aitkin,MN,2020,3,1
3097,Montgomery,MO,2020,3,2
3098,Crisp,GA,2020,4,2
3099,Orange,NC,2020,4,11
3100,Granville,NC,2020,4,14
3101,Scurry,TX,2020,2,2
3102,Cumberland,NC,2020,3,48
3103,Prince William,VA,2020,2,1930
3104,Hendricks,IN,2020,2,97
3105,Pecos,TX,2020,2,1
3106,Jefferson,WI,2020,2,16
3107,Wayne,NC,2020,3,5
3108,Avery,NC,2020,3,2
3109,Warren,OH,2020,2,40
3110,Taliaferro,GA,2020,3,4
3111,San Joaquin,CA,2020,2,5389
3112,New York,NY,2020,2,2210
3113,Davidson,TN,2020,3,2000
3114,Juab,UT,2020,2,198
3115,King,WA,2020,4,171
3116,Solano,CA,2020,2,2659
3117,Yavapai,AZ,2020,3,131
3118,Baltimore City,MD,2020,2,1764
3119,Clark,IN,2020,3,62
3120,Rapides,LA,2020,2,24
3121,Lafayette,MS,2020,2,70
3122,Hampshire,WV,2020,2,4
3123,Ouray,CO,2020,2,6
3124,Dane,WI,2020,4,19
3125,Calhoun,AL,2020,2,47
3126,Logan,CO,2020,3,2
3127,Oldham,KY,2020,2,6
3128,Tishomingo,MS,2020,2,7
3129,Chickasaw,IA,2020,2,1
3130,Providence,RI,2020,3,806
3131,DeKalb,GA,2020,2,1659
3132,Brown,MN,2020,2,112
3133,Jackson,MO,2020,2,1557
3134,Marlboro,SC,2020,2,302
3135,Yuma,AZ,2020,2,58
3136,San Joaquin,CA,2020,3,408
3137,Ramsey,MN,2020,4,42
3138,Grand,UT,2020,3,11
3139,Franklin,MA,2020,2,14
3140,St. Clair,IL,2020,2,53
3141,Washoe,NV,2020,1,2
3142,Carroll,KY,2020,3,7
3143,Windham,CT,2020,4,50
3144,Dearborn,IN,2020,2,34
3145,Allegany,MD,2020,2,54
3146,Powhatan,VA,2020,3,5
3147,Garrett,MD,2020,4,16
3148,Calhoun,AL,2020,4,3
3149,Bedford,TN,2020,3,2
3150,Fairfield,CT,2020,3,670
3151,Parker,TX,2020,3,36
3152,Bossier,LA,2020,3,107
3153,San Francisco,CA,2020,3,580
3154,Nevada,CA,2020,2,1212
3155,Portage,WI,2020,3,13
3156,New York,NY,2020,3,647
3157,Burlington,NJ,2020,2,880
3158,Rockland,NY,2020,3,184
3159,Monroe,WI,2020,3,14
3160,Hall,NE,2020,4,5
3161,Huron,OH,2020,2,2
3162,Barrow,GA,2020,4,5
3163,Morgan,GA,2020,3,23
3164,Johnson,IL,2020,3,27
3165,Shelby,IN,2020,3,22
3166,Eaton,MI,2020,2,53
3167,Jefferson,IA,2020,3,1
3168,Greensville,VA,2020,4,6
3169,McKinley,NM,2020,3,5
3170,San Augustine,TX,2020,2,1
3171,Niagara,NY,2020,2,116
3172,Spotsylvania,VA,2020,2,333
3173,Washington,TN,2020,2,670
3174,Spartanburg,SC,2020,2,6872
3175,Orleans,LA,2020,3,865
3176,Oakland,MI,2020,2,762
3177,Highlands,FL,2020,2,341
3178,Rutherford,TN,2020,3,126
3179,Belknap,NH,2020,3,18
3180,Jones,MS,2020,2,11
3181,Petersburg,VA,2020,4,13
3182,Banks,GA,2020,2,19
3183,Fort Bend,TX,2020,4,13
3184,Guilford,NC,2020,4,55
3185,Carter,OK,2020,2,3
3186,Wabash,IN,2020,2,14
3187,Lampasas,TX,2020,2,1
3188,Lamar,MS,2020,3,10
3189,Lawrence,TN,2020,2,17
3190,Alachua,FL,2020,4,14
3191,Worcester,MA,2020,2,416
3192,Hamilton,OH,2020,3,715
3193,Miami,OH,2020,3,16
3194,Augusta,VA,2020,4,77
3195,Dade,GA,2020,3,16
3196,Madison,NY,2020,2,80
3197,Marin,CA,2020,3,67
3198,Roanoke City,VA,2020,2,63
3199,Burleson,TX,2020,2,2
3200,Ascension,LA,2020,2,44
3201,Washington,VA,2020,4,16
3202,Yavapai,AZ,2020,4,54
3203,Emporia,VA,2020,3,14
3204,Bulloch,GA,2020,4,9
3205,Perry,TN,2020,2,3
3206,Swift,MN,2020,2,45
3207,Hampshire,MA,2020,3,6
3208,Johnson,GA,2020,3,1
3209,Orange,CA,2020,2,14699
3210,Ramsey,MN,2020,3,791
3211,Pasco,FL,2020,4,36
3212,Acadia,LA,2020,2,24
3213,Marion,AL,2020,2,21
3214,Colonial Heights,VA,2020,3,35
3215,Smith,TN,2020,3,11
3216,Clarke,VA,2020,3,3
3217,Navajo,AZ,2020,3,29
3218,Benton,WA,2020,2,17
3219,Bristol,VA,2020,2,29
3220,Adams,WA,2020,2,6
3221,Kennebec,ME,2020,3,6
3222,Whitman,WA,2020,3,2
3223,Pitkin,CO,2020,2,7
3224,Hillsborough,FL,2020,1,387
3225,Callahan,TX,2020,3,1
3226,Warren,NC,2020,3,5
3227,Rockcastle,KY,2020,3,2
3228,Wayne,TN,2020,2,1
3229,Calhoun,TX,2020,2,2
3230,Yazoo,MS,2020,2,4
3231,Cheshire,NH,2020,2,89
3232,Westmoreland,PA,2020,2,532
3233,Franklin,OH,2020,2,1673
3234,Seminole,FL,2020,3,327
3235,Lee,AL,2020,2,138
3236,Virginia Beach,VA,2020,3,368
3237,Macon-Bibb County,GA,2020,2,209
3238,Winnebago,IL,2020,3,75
3239,Cumberland,PA,2020,3,147
3240,Summit,UT,2020,4,13
3241,New London,CT,2020,4,85
3242,Franklin,IA,2020,2,22
3243,Skagit,WA,2020,4,19
3244,McIntosh,GA,2020,2,17
3245,Hardeman,TX,2020,2,1
3246,Halifax,NC,2020,2,40
3247,Reeves,TX,2020,4,1
3248,McMinn,TN,2020,3,22
3249,Lexington,SC,2020,3,621
3250,Santa Clara,CA,2020,3,748
3251,Kershaw,SC,2020,2,713
3252,Goliad,TX,2020,2,2
3253,Thurston,WA,2020,2,153
3254,Multnomah,OR,2020,2,4447
3255,Aiken,SC,2020,2,884
3256,Wabasha,MN,2020,2,103
3257,Elko,NV,2020,2,116
3258,Vermilion,IL,2020,4,1
3259,Lee,VA,2020,2,14
3260,Laurens,GA,2020,3,14
3261,Sacramento,CA,2020,4,134
3262,Davidson,NC,2020,4,53
3263,Dooly,GA,2020,2,23
3264,Treutlen,GA,2020,4,9
3265,Anson,NC,2020,2,7
3266,Macomb,MI,2020,2,368
3267,Clarendon,SC,2020,2,338
3268,Morgan,AL,2020,2,235
3269,Baltimore County,MD,2020,2,2515
3270,Bond,IL,2020,3,10
3271,Summit,CO,2020,4,22
3272,Kings,NY,2020,4,156
3273,Emanuel,GA,2020,3,5
3274,Navarro,TX,2020,3,3
3275,Norfolk,MA,2020,4,6
3276,Black Hawk,IA,2020,2,24
3277,Vigo,IN,2020,3,7
3278,Livingston,LA,2020,4,10
3279,Miami-Dade,FL,2020,1,78
3280,Deaf Smith,TX,2020,2,1
3281,Kane,IL,2020,4,22
3282,Freeborn,MN,2020,2,463
3283,Windham,CT,2020,3,15
3284,Hinds,MS,2020,3,206
3285,Putnam,WV,2020,4,4
3286,Cuyahoga,OH,2020,2,1411
3287,Eagle,CO,2020,4,51
3288,Orange,CA,2020,4,149
3289,Hampton,SC,2020,3,14
3290,Pottawattamie,IA,2020,2,158
3291,Garfield,CO,2020,2,58
3292,Franklin,VT,2020,2,9
3293,Watonwan,MN,2020,2,102
3294,Napa,CA,2020,3,30
3295,Montgomery,MD,2020,1,104
3296,Galveston,TX,2020,4,23
3297,Chippewa,WI,2020,3,4
3298,Saline,MO,2020,4,2
3299,Dinwiddie,VA,2020,2,197
3300,Carlton,MN,2020,2,315
3301,Outagamie,WI,2020,2,41
3302,Smith,TX,2020,3,12
3303,Hocking,OH,2020,2,4
3304,McClain,OK,2020,2,21
3305,Gregg,TX,2020,2,22
3306,Colonial Heights,VA,2020,4,3
3307,Jefferson,FL,2020,2,141
3308,Jones,IA,2020,2,4
3309,Henry,AL,2020,2,26
3310,Erie,PA,2020,3,22
3311,Oswego,NY,2020,2,20
3312,Escambia,AL,2020,2,38
3313,Jefferson,TX,2020,3,14
3314,Sweetwater,WY,2020,3,2
3315,Escambia,FL,2020,2,3056
3316,Sonoma,CA,2020,2,3863
3317,Calaveras,CA,2020,2,587
3318,Fresno,CA,2020,2,6192
3319,Madison,MS,2020,2,73
3320,Butts,GA,2020,4,20
3321,New Hanover,NC,2020,3,13
3322,Monroe,IN,2020,4,12
3323,Tangipahoa,LA,2020,4,18
3324,Cumberland,PA,2020,4,42
3325,Northumberland,VA,2020,2,13
3326,Middlesex,VA,2020,2,13
3327,Page,VA,2020,3,2
3328,Carlton,MN,2020,3,4
3329,Shelby,IN,2020,2,24
3330,Highlands,FL,2020,3,9
3331,Chesterfield,SC,2020,3,7
3332,Rockcastle,KY,2020,4,1
3333,Colusa,CA,2020,2,329
3334,Montgomery,OH,2020,2,4971
3335,Hillsborough,FL,2020,3,1670
3336,Gage,NE,2020,2,3
3337,Denton,TX,2020,3,505
3338,Buncombe,NC,2020,3,278
3339,Arapahoe,CO,2020,2,864
3340,Morgan,AL,2020,3,60
3341,Harris,GA,2020,3,13
3342,Monroe,MI,2020,3,54
3343,Berkeley,WV,2020,4,21
3344,Burke,NC,2020,3,19
3345,Somerset,NJ,2020,4,51
3346,Morgan,GA,2020,2,27
3347,Monona,IA,2020,2,7
3348,Mineral,NV,2020,2,31
3349,Henry,IN,2020,4,23
3350,Hopewell,VA,2020,2,5
3351,Berkshire,MA,2020,3,11
3352,Travis,TX,2020,4,116
3353,Blount,AL,2020,2,622
3354,Ventura,CA,2020,2,3464
3355,Tulare,CA,2020,2,2943
3356,Jackson,IN,2020,3,12
3357,Coconino,AZ,2020,3,71
3358,Clay,FL,2020,3,37
3359,Laclede,MO,2020,3,15
3360,Weld,CO,2020,2,128
3361,Dixie,FL,2020,2,40
3362,New Hanover,NC,2020,2,85
3363,Floyd,IN,2020,4,13
3364,Clear Creek,CO,2020,4,50
3365,Preble,OH,2020,3,2
3366,Davie,NC,2020,2,59
3367,Meigs,OH,2020,2,6
3368,Henry,KY,2020,2,4
3369,Logan,IL,2020,2,5
3370,Wayne,NC,2020,4,25
3371,Greenville,SC,2020,3,602
3372,Blair,PA,2020,2,438
3373,York,PA,2020,4,51
3374,Carter,KY,2020,2,4
3375,Leon,FL,2020,3,96
3376,Iredell,NC,2020,4,50
3377,Orangeburg,SC,2020,4,11
3378,Franklin,FL,2020,2,7
3379,Washington,IL,2020,2,2
3380,Jefferson,TN,2020,2,28
3381,Franklin,MO,2020,2,35
3382,Alamance,NC,2020,4,15
3383,Mississippi,AR,2020,4,4
3384,Dawson,NE,2020,3,2
3385,Iowa,IA,2020,2,39
3386,Monterey,CA,2020,3,37
3387,Portage,WI,2020,4,4
3388,Erie,NY,2020,2,1147
3389,Sarpy,NE,2020,2,589
3390,Broomfield,CO,2020,2,31
3391,Lake,CA,2020,3,2
3392,Los Angeles,CA,2020,4,704
3393,Lowndes,AL,2020,3,77
3394,Jefferson,WA,2020,3,14
3395,Hopewell,VA,2020,3,2
3396,Martin,TX,2020,4,1
3397,Houston,MN,2020,2,91
3398,Bastrop,TX,2020,2,17
3399,Brantley,GA,2020,2,3
3400,Macomb,MI,2020,4,62
3401,Clark,IL,2020,3,8
3402,Madison,TN,2020,3,15
3403,Nolan,TX,2020,2,3
3404,Talbot,MD,2020,3,11
3405,King George,VA,2020,3,2
3406,Rio Blanco,CO,2020,3,1
3407,Graves,KY,2020,3,1
3408,Grant,NM,2020,2,6
3409,Fulton,GA,2020,2,3566
3410,Salt Lake,UT,2020,2,5326
3411,Tuolumne,CA,2020,2,812
3412,Prince George,VA,2020,3,21
3413,Kane,IL,2020,3,389
3414,Essex,VA,2020,2,14
3415,Iredell,NC,2020,3,111
3416,Dickson,TN,2020,4,5
3417,Boulder,CO,2020,2,70
3418,Androscoggin,ME,2020,3,5
3419,Kent,DE,2020,2,77
3420,Fayette,AL,2020,2,7
3421,Sussex,VA,2020,3,21
3422,Benton,AR,2020,3,4
3423,Whitfield,GA,2020,2,41
3424,Prowers,CO,2020,2,4
3425,Crawford,AR,2020,4,3
3426,Stark,OH,2020,2,51
3427,Cleveland,OK,2020,2,563
3428,San Mateo,CA,2020,3,322
3429,Twiggs,GA,2020,3,21
3430,Carson City,NV,2020,2,148
3431,Marion,IN,2020,4,106
3432,St. Charles,MO,2020,3,313
3433,Newton,IN,2020,2,14
3434,Nash,NC,2020,3,21
3435,Marion,IL,2020,3,17
3436,Caroline,VA,2020,4,24
3437,Polk,NC,2020,3,23
3438,Sedgwick,CO,2020,3,2
3439,Franklin,GA,2020,4,9
3440,Acadia,LA,2020,3,9
3441,Pitkin,CO,2020,3,1
3442,Rhea,TN,2020,3,1
3443,Dyer,TN,2020,3,3
3444,Cheyenne,NE,2020,3,2
3445,Charlottesville,VA,2020,3,2
3446,Lincoln,MS,2020,4,4
3447,Anne Arundel,MD,2019,2,767
3448,Humboldt,CA,2019,2,464
3449,Kent,MI,2019,3,361
3450,Petersburg,VA,2019,3,74
3451,Lincoln,TN,2019,2,5
3452,Centre,PA,2019,3,78
3453,Vance,NC,2019,3,12
3454,Clallam,WA,2019,3,10
3455,Douglas,CO,2019,4,88
3456,Hamilton,OH,2019,4,63
3457,Ramsey,MN,2019,4,10
3458,Galveston,TX,2019,2,20
3459,Kern,CA,2019,3,190
3460,Pendleton,KY,2020,2,2
3461,Kerr,TX,2020,4,4
3462,Kane,IL,2019,2,1291
3463,Berkeley,SC,2019,3,382
3464,Stewart,GA,2019,3,1
3465,Douglas,NE,2019,2,2874
3466,Goodhue,MN,2019,2,238
3467,Alexandria,VA,2019,2,153
3468,Lewis,WA,2019,2,32
3469,Cattaraugus,NY,2019,4,9
3470,Grafton,NH,2019,4,3
3471,Roanoke County,VA,2019,4,10
3472,Wythe,VA,2019,2,43
3473,Baldwin,AL,2019,4,7
3474,Hamilton,IA,2020,2,25
3475,Crook,OR,2020,3,3
3476,San Jacinto,TX,2020,2,2
3477,Oklahoma,OK,2019,2,10896
3478,Kenton,KY,2019,2,971
3479,Carver,MN,2019,2,271
3480,Prince George's,MD,2019,3,537
3481,Montgomery,VA,2019,3,94
3482,Windham,VT,2019,2,29
3483,McDuffie,GA,2019,2,13
3484,Haywood,NC,2019,2,70
3485,Hunt,TX,2019,3,8
3486,Greene,OH,2019,3,23
3487,Newton,MS,2020,4,1
3488,Lincoln,CO,2020,4,6
3489,Kings,NY,2019,2,1202
3490,Gadsden,FL,2019,3,64
3491,Ventura,CA,2019,2,2490
3492,Brevard,FL,2019,2,595
3493,Chilton,AL,2019,4,11
3494,Clarendon,SC,2019,3,106
3495,Dooly,GA,2019,3,14
3496,Fredericksburg,VA,2019,2,33
3497,Summit,CO,2019,2,11
3498,Adair,IA,2019,3,27
3499,Berkeley,WV,2019,2,20
3500,Waushara,WI,2020,2,2
3501,Maricopa,AZ,2020,1,3705
3502,Nueces,TX,2020,3,2
3503,Cheshire,NH,2020,3,1
3504,Lycoming,PA,2019,2,189
3505,Northampton,PA,2019,2,178
3506,Guilford,NC,2019,3,196
3507,Henderson,NC,2019,2,32
3508,McLeod,MN,2019,2,127
3509,Pacific,WA,2019,2,103
3510,Sweetwater,WY,2019,3,8
3511,Ocean,NJ,2019,3,37
3512,Roanoke County,VA,2019,2,68
3513,Waller,TX,2019,3,31
3514,Hampton,VA,2019,2,81
3515,Anderson,TN,2019,2,15
3516,Madison,IN,2019,2,20
3517,Rio Blanco,CO,2020,2,1
3518,Osceola,MI,2020,2,3
3519,Madison,FL,2019,3,44
3520,Sumter,SC,2019,3,54
3521,Stearns,MN,2019,2,360
3522,Rockingham,NH,2019,3,110
3523,Suffolk,NY,2019,2,3389
3524,Macon,NC,2019,2,5
3525,Fauquier,VA,2019,2,94
3526,Klamath,OR,2019,2,1523
3527,Henry,IN,2019,2,14
3528,Montgomery,TN,2019,3,18
3529,Garfield,CO,2019,3,50
3530,Hernando,FL,2019,3,24
3531,Wilson,NC,2019,2,13
3532,McLennan,TX,2019,2,8
3533,Talbot,MD,2019,2,23
3534,Nacogdoches,TX,2019,2,3
3535,Sweetwater,WY,2020,2,4
3536,Goochland,VA,2020,4,11
3537,Greer,OK,2020,2,1
3538,Albemarle,VA,2019,3,162
3539,Faribault,MN,2019,2,61
3540,Boulder,CO,2019,3,55
3541,Kimball,NE,2019,3,9
3542,Camden,NJ,2020,4,65
3543,Coleman,TX,2020,2,1
3544,Leavenworth,KS,2020,3,1
3545,Natrona,WY,2020,4,1
3546,Okmulgee,OK,2020,3,1
3547,Jerome,ID,2020,4,2
3548,Union,NJ,2019,2,718
3549,Nicollet,MN,2019,2,168
3550,New Haven,CT,2019,2,634
3551,Chesterfield,VA,2019,4,47
3552,Placer,CA,2019,4,28
3553,Henry,VA,2019,2,105
3554,Henderson,TN,2019,3,4
3555,Chippewa,MN,2019,2,39
3556,Hancock,IN,2019,2,28
3557,Okaloosa,FL,2019,4,18
3558,Lauderdale,AL,2019,3,2
3559,Pitkin,CO,2019,2,4
3560,Talbot,GA,2019,2,2
3561,Ada,ID,2020,2,1001
3562,Saratoga,NY,2020,4,26
3563,Utah,UT,2020,1,32
3564,Polk,IA,2019,3,577
3565,Solano,CA,2019,3,1115
3566,Riverside,CA,2019,3,1758
3567,Leon,FL,2019,2,784
3568,Norfolk,VA,2019,2,341
3569,Kings,CA,2019,3,21
3570,Peoria,IL,2019,2,33
3571,Gibson,IN,2019,3,6
3572,Augusta,VA,2019,4,46
3573,Brunswick,VA,2019,2,45
3574,Apache,AZ,2019,2,49
3575,Denver,CO,2019,4,138
3576,Houston,GA,2019,4,48
3577,Maury,TN,2019,2,10
3578,Union,LA,2019,2,4
3579,Otsego,NY,2019,3,8
3580,Vanderburgh,IN,2020,4,6
3581,Dallam,TX,2020,2,1
3582,Ector,TX,2020,2,1
3583,Oswego,NY,2020,3,3
3584,Yuma,AZ,2020,4,5
3585,Essex,NJ,2019,3,399
3586,Henry,IL,2019,3,5
3587,Weber,UT,2019,3,188
3588,Emporia,VA,2019,2,3
3589,Sussex,VA,2019,3,34
3590,Marion,SC,2019,2,218
3591,Daviess,MO,2019,3,2
3592,Washington,VT,2019,2,10
3593,Rockdale,GA,2019,4,21
3594,Clarke,AL,2020,2,2
3595,Tippah,MS,2020,2,1
3596,Winneshiek,IA,2020,2,3
3597,Webster,GA,2020,2,1
3598,Marquette,WI,2020,4,1
3599,Nassau,NY,2019,2,2749
3600,San Diego,CA,2019,3,2907
3601,Dorchester,SC,2019,2,1114
3602,Williamson,TX,2019,4,7
3603,Clackamas,OR,2019,2,1849
3604,Alleghany,VA,2019,3,16
3605,Abbeville,SC,2019,2,111
3606,Utah,UT,2019,2,2113
3607,Oklahoma,OK,2019,4,31
3608,Tolland,CT,2019,2,62
3609,Marin,CA,2019,3,96
3610,Walton,GA,2019,2,27
3611,Sauk,WI,2019,2,19
3612,Lawrence,PA,2019,3,7
3613,Lafayette,MS,2019,3,1
3614,Scott,MN,2019,4,4
3615,Pemiscot,MO,2019,2,1
3616,Sussex,VA,2019,2,26
3617,Green Lake,WI,2020,3,1
3618,Contra Costa,CA,2020,1,533
3619,Lake,IN,2020,1,7
3620,Philadelphia,PA,2019,3,1007
3621,Providence,RI,2019,3,1157
3622,Travis,TX,2019,3,1464
3623,Middlesex,NJ,2019,3,389
3624,Saline,MO,2019,3,12
3625,Butler,AL,2019,3,71
3626,Millard,UT,2019,2,192
3627,Josephine,OR,2019,2,999
3628,Banks,GA,2019,3,26
3629,Tuscaloosa,AL,2019,3,250
3630,Grundy,TN,2019,3,8
3631,DeSoto,MS,2019,3,50
3632,Warren,GA,2019,2,10
3633,Moore,NC,2019,2,19
3634,Stafford,VA,2019,4,9
3635,Palm Beach,FL,2019,4,87
3636,Calcasieu,LA,2019,2,58
3637,Westmoreland,VA,2019,2,5
3638,Hood River,OR,2019,4,13
3639,Sierra,NM,2020,2,3
3640,Jackson,AL,2020,3,3
3641,Uinta,WY,2020,4,1
3642,Tehama,CA,2020,4,1
3643,Polk,TX,2020,3,1
3644,Denver,CO,2019,3,2376
3645,Berrien,MI,2019,3,154
3646,Brunswick,VA,2019,3,41
3647,Sheboygan,WI,2019,2,80
3648,Sacramento,CA,2019,4,105
3649,Socorro,NM,2019,3,14
3650,Hays,TX,2019,3,105
3651,Wood,OH,2019,2,24
3652,Montgomery,TX,2019,2,126
3653,Rutherford,TN,2019,2,59
3654,Susquehanna,PA,2019,2,7
3655,Kenton,KY,2019,4,24
3656,Bartholomew,IN,2019,4,14
3657,Logan,IL,2019,2,5
3658,Laurens,GA,2019,2,14
3659,Lee,IL,2019,2,3
3660,White Pine,NV,2020,3,3
3661,Meriwether,GA,2019,3,3
3662,Grand,UT,2019,2,131
3663,Pulaski,VA,2019,2,21
3664,Polk,IA,2019,4,25
3665,Rockbridge,VA,2019,2,50
3666,Panola,MS,2019,3,4
3667,Poweshiek,IA,2019,3,19
3668,Shawano,WI,2019,2,16
3669,Pasco,FL,2020,1,78
3670,Colfax,NE,2020,2,1
3671,Carson,TX,2020,3,1
3672,Wasatch,UT,2020,1,5
3673,Westmoreland,PA,2019,2,250
3674,Baldwin,AL,2019,2,304
3675,Washtenaw,MI,2019,2,299
3676,Hampden,MA,2019,3,70
3677,Tarrant,TX,2019,4,49
3678,Greene,MO,2019,3,38
3679,Merrimack,NH,2019,4,13
3680,Wayne,UT,2019,2,48
3681,Pike,MS,2019,2,3
3682,Walker,GA,2019,2,15
3683,Ware,GA,2019,2,4
3684,Mitchell,NC,2020,2,6
3685,Houston,AL,2019,2,261
